d[A]	CH	ON	OH	CN
0.005	12285.9913	2.454E+33	-12285.9913	7.173E+33
0.015	4095.3304	4.617E+27	-4095.3304	1.35E+28
0.025	2457.1983	1.005E+25	-2457.1983	2.938E+25
0.035	1755.1416	1.773E+23	-1755.1416	5.183E+23
0.045	1365.1101	8.687E+21	-1365.1101	2.54E+22
0.055	1116.9083	7.818E+20	-1116.9083	2.286E+21
0.065	945.0763	1.053E+20	-945.0763	3.079E+20
0.075	819.0661	1.891E+19	-819.0661	5.529E+19
0.085	722.7054	4.211E+18	-722.7054	1.231E+19
0.095	646.6311	1.109E+18	-646.6311	3.241E+18
0.105	585.0472	3.336E+17	-585.0472	9.752E+17
0.115	534.1735	1.12E+17	-534.1735	3.273E+17
0.125	491.4397	4.116E+16	-491.4397	1.204E+17
0.135	455.0367	1.635E+16	-455.0367	4.779E+16
0.145	423.6549	6.935E+15	-423.6549	2.027E+16
0.155	396.3223	3.115E+15	-396.3223	9.107E+15
0.165	372.3028	1.471E+15	-372.3028	4.301E+15
0.175	351.0283	726100000000000	-351.0283	2.123E+15
0.185	332.0538	372700000000000	-332.0538	1.09E+15
0.195	315.0254	198200000000000	-315.0254	579400000000000
0.205	299.6583	108700000000000	-299.6583	317900000000000
0.215	285.7207	61400000000000	-285.7207	179500000000000
0.225	273.022	35580000000000	-273.022	104000000000000
0.235	261.4041	21120000000000	-261.4041	61740000000000
0.245	250.7345	12810000000000	-250.7345	37440000000000
0.255	240.9018	7924000000000	-240.9018	23170000000000
0.265	231.8112	4995000000000	-231.8112	14600000000000
0.275	223.3817	3202000000000	-223.3817	9362000000000
0.285	215.5437	2086000000000	-215.5437	6099000000000
0.295	208.2371	1379000000000	-208.2371	4032000000000
0.305	201.4097	924400000000	-201.4097	2703000000000
0.315	195.0157	627600000000	-195.0157	1835000000000
0.325	189.0153	431400000000	-189.0153	1261000000000
0.335	183.373	299900000000	-183.373	876700000000
0.345	178.0578	210700000000	-178.0578	615900000000
0.355	173.0421	149500000000	-173.0421	437100000000
0.365	168.3013	107100000000	-168.3013	313200000000
0.375	163.8132	77460000000	-163.8132	226500000000
0.385	159.5583	56480000000	-159.5583	165100000000
0.395	155.5189	41520000000	-155.5189	121400000000
0.405	151.6789	30760000000	-151.6789	89930000000
