# Lifetime spectra at each unfolded fraction
# Gaussian R_mean=35.0 Å, sigma=4.0 Å; WLC Lc=80.0 Å, Lp=60.0 Å
# fraction_unfolded	amplitude	lifetime_ns
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000001
0.00000000	0.00000000	0.00000001
0.00000000	0.00000000	0.00000001
0.00000000	0.00000000	0.00000001
0.00000000	0.00000000	0.00000002
0.00000000	0.00000000	0.00000003
0.00000000	0.00000000	0.00000004
0.00000000	0.00000000	0.00000005
0.00000000	0.00000000	0.00000007
0.00000000	0.00000000	0.00000009
0.00000000	0.00000000	0.00000013
0.00000000	0.00000000	0.00000018
0.00000000	0.00000000	0.00000024
0.00000000	0.00000000	0.00000032
0.00000000	0.00000000	0.00000044
0.00000000	0.00000000	0.00000060
0.00000000	0.00000000	0.00000081
0.00000000	0.00000000	0.00000111
0.00000000	0.00000000	0.00000151
0.00000000	0.00000000	0.00000205
0.00000000	0.00000000	0.00000279
0.00000000	0.00000000	0.00000379
0.00000000	0.00000000	0.00000515
0.00000000	0.00000000	0.00000701
0.00000000	0.00000000	0.00000953
0.00000000	0.00000000	0.00001296
0.00000000	0.00000000	0.00001762
0.00000000	0.00000000	0.00002396
0.00000000	0.00000000	0.00003258
0.00000000	0.00000000	0.00004431
0.00000000	0.00000000	0.00006026
0.00000000	0.00000000	0.00008195
0.00000000	0.00000000	0.00011144
0.00000000	0.00000000	0.00015155
0.00000000	0.00000000	0.00020609
0.00000000	0.00000000	0.00028027
0.00000000	0.00000000	0.00038113
0.00000000	0.00000001	0.00051829
0.00000000	0.00000002	0.00070479
0.00000000	0.00000005	0.00095840
0.00000000	0.00000011	0.00130323
0.00000000	0.00000029	0.00177208
0.00000000	0.00000076	0.00240949
0.00000000	0.00000199	0.00327600
0.00000000	0.00000529	0.00445377
0.00000000	0.00001410	0.00605433
0.00000000	0.00003754	0.00822890
0.00000000	0.00009932	0.01118233
0.00000000	0.00025936	0.01519175
0.00000000	0.00066341	0.02063131
0.00000000	0.00164766	0.02800487
0.00000000	0.00393365	0.03798856
0.00000000	0.00892428	0.05148528
0.00000000	0.01898894	0.06969281
0.00000000	0.03733284	0.09418577
0.00000000	0.06667656	0.12700841
0.00000000	0.10611776	0.17076925
0.00000000	0.14725565	0.22871750
0.00000000	0.17383064	0.30476469
0.00000000	0.16977489	0.40339249
0.00000000	0.13295227	0.52936573
0.00000000	0.08058557	0.68716232
0.00000000	0.03633332	0.88006846
0.00000000	0.01165329	1.10900028
0.00000000	0.00252880	1.37130906
0.00000000	0.00035097	1.66003533
0.00000000	0.00002925	1.96413013
0.00000000	0.00000136	2.26989307
0.00000000	0.00000003	2.56332399
0.00000000	0.00000000	2.83258347
0.00000000	0.00000000	3.06969371
0.00000000	0.00000000	3.27103882
0.00000000	0.00000000	3.43680211
0.00000000	0.00000000	3.56982850
0.00000000	0.00000000	3.67441095
0.00000000	0.00000000	3.75531030
0.00000000	0.00000000	3.81710905
0.00000000	0.00000000	3.86386573
0.00000000	0.00000000	3.89898525
0.00000000	0.00000000	3.92522008
0.00000000	0.00000000	3.94473795
0.00000000	0.00000000	3.95921452
0.00000000	0.00000000	3.96992768
0.00000000	0.00000000	3.97784255
0.00000000	0.00000000	3.98368284
0.00000000	0.00000000	4.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000001
0.00000000	0.00000000	0.00000001
0.00000000	0.00000000	0.00000001
0.00000000	0.00000000	0.00000001
0.00000000	0.00000000	0.00000002
0.00000000	0.00000000	0.00000003
0.00000000	0.00000000	0.00000004
0.00000000	0.00000000	0.00000005
0.00000000	0.00000000	0.00000007
0.00000000	0.00000000	0.00000009
0.00000000	0.00000000	0.00000013
0.00000000	0.00000000	0.00000018
0.00000000	0.00000000	0.00000024
0.00000000	0.00000000	0.00000032
0.00000000	0.00000000	0.00000044
0.00000000	0.00000000	0.00000060
0.00000000	0.00000000	0.00000081
0.00000000	0.00000000	0.00000111
0.00000000	0.00000000	0.00000151
0.00000000	0.00000000	0.00000205
0.00000000	0.00000000	0.00000279
0.00000000	0.00000000	0.00000379
0.00000000	0.00000000	0.00000515
0.00000000	0.00000000	0.00000701
0.00000000	0.00000000	0.00000953
0.00000000	0.00000000	0.00001296
0.00000000	0.00000000	0.00001762
0.00000000	0.00000000	0.00002396
0.00000000	0.00000000	0.00003258
0.00000000	0.00000000	0.00004431
0.00000000	0.00000000	0.00006026
0.00000000	0.00000000	0.00008195
0.00000000	0.00000000	0.00011144
0.00000000	0.00000000	0.00015155
0.00000000	0.00000000	0.00020609
0.00000000	0.00000000	0.00028027
0.00000000	0.00000000	0.00038113
0.00000000	0.00000000	0.00051829
0.00000000	0.00000000	0.00070479
0.00000000	0.00000000	0.00095840
0.00000000	0.00000000	0.00130323
0.00000000	0.00000000	0.00177208
0.00000000	0.00000000	0.00240949
0.00000000	0.00000000	0.00327600
0.00000000	0.00000000	0.00445377
0.00000000	0.00000000	0.00605433
0.00000000	0.00000000	0.00822890
0.00000000	0.00000000	0.01118233
0.00000000	0.00000000	0.01519175
0.00000000	0.00000000	0.02063131
0.00000000	0.00000000	0.02800487
0.00000000	0.00000000	0.03798856
0.00000000	0.00000000	0.05148528
0.00000000	0.00000000	0.06969281
0.00000000	0.00000000	0.09418577
0.00000000	0.00000000	0.12700841
0.00000000	0.00000000	0.17076925
0.00000000	0.00000000	0.22871750
0.00000000	0.00000000	0.30476469
0.00000000	0.00000000	0.40339249
0.00000000	0.00000000	0.52936573
0.00000000	0.00000000	0.68716232
0.00000000	0.00000000	0.88006846
0.00000000	0.00000000	1.10900028
0.00000000	0.00000000	1.37130906
0.00000000	0.00000000	1.66003533
0.00000000	0.00000000	1.96413013
0.00000000	0.00000000	2.26989307
0.00000000	0.00000000	2.56332399
0.00000000	0.00000000	2.83258347
0.00000000	0.00000000	3.06969371
0.00000000	0.00000000	3.27103882
0.00000000	0.00000000	3.43680211
0.00000000	0.00000000	3.56982850
0.00000000	0.00000000	3.67441095
0.00000000	0.00000000	3.75531030
0.00000000	0.00000000	3.81710905
0.00000000	0.00000000	3.86386573
0.00000000	0.00000000	3.89898525
0.00000000	0.00000000	3.92522008
0.00000000	0.00000000	3.94473795
0.00000000	0.00000000	3.95921452
0.00000000	0.00000000	3.96992768
0.00000000	0.00000000	3.97784255
0.00000000	0.00000000	3.98368284
0.00000000	0.00000000	4.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000000
0.05000000	0.00000000	0.00000001
0.05000000	0.00000000	0.00000001
0.05000000	0.00000000	0.00000001
0.05000000	0.00000000	0.00000001
0.05000000	0.00000000	0.00000002
0.05000000	0.00000000	0.00000003
0.05000000	0.00000000	0.00000004
0.05000000	0.00000000	0.00000005
0.05000000	0.00000000	0.00000007
0.05000000	0.00000000	0.00000009
0.05000000	0.00000000	0.00000013
0.05000000	0.00000000	0.00000018
0.05000000	0.00000000	0.00000024
0.05000000	0.00000000	0.00000032
0.05000000	0.00000000	0.00000044
