# Synthetic (no-IRF) TCSPC decays at each unfolded fraction step
# Gaussian (folded): R_mean=35.0 Å, sigma=4.0 Å
# WLC (unfolded):    Lc=80.0 Å, Lp=60.0 Å
# tau_D0=4.00 ns, R0=52.0 Å
# Time axis: 256 channels over 25.0 ns
# Columns: time_ns  decay(f=0.00)  decay(f=0.05) ...
time_ns	decay(f=0.00)	decay(f=0.05)	decay(f=0.10)	decay(f=0.15)	decay(f=0.20)	decay(f=0.25)	decay(f=0.30)	decay(f=0.35)	decay(f=0.40)	decay(f=0.45)	decay(f=0.50)	decay(f=0.55)	decay(f=0.60)	decay(f=0.65)	decay(f=0.70)	decay(f=0.75)	decay(f=0.80)	decay(f=0.85)	decay(f=0.90)	decay(f=0.95)	decay(f=1.00)
0.00000000	0.23658517	0.20436406	0.17986747	0.16061497	0.14508544	0.13229419	0.12157564	0.11246377	0.10462250	0.09780340	0.09181881	0.08652439	0.08180725	0.07757786	0.07376428	0.07030807	0.06716125	0.06428405	0.06164324	0.05921084	0.05696311
0.09803922	0.16357669	0.14207347	0.12572533	0.11287690	0.10251304	0.09397662	0.08682345	0.08074251	0.07550953	0.07095870	0.06696480	0.06343149	0.06028344	0.05746090	0.05491585	0.05260930	0.05050923	0.04858908	0.04682670	0.04520341	0.04370335
0.19607843	0.11969293	0.10543196	0.09458984	0.08606873	0.07919541	0.07353403	0.06879004	0.06475715	0.06128662	0.05826850	0.05561974	0.05327645	0.05118865	0.04931674	0.04762886	0.04609915	0.04470637	0.04343293	0.04226412	0.04118754	0.04019271
0.29411765	0.09047468	0.08096487	0.07373488	0.06805265	0.06346923	0.05969398	0.05653049	0.05384118	0.05152689	0.04951428	0.04774798	0.04618537	0.04479314	0.04354487	0.04241932	0.04139925	0.04047048	0.03962130	0.03884188	0.03812398	0.03746058
0.39215686	0.06995544	0.06371207	0.05896545	0.05523496	0.05222585	0.04974734	0.04767044	0.04590486	0.04438549	0.04306417	0.04190456	0.04087868	0.03996466	0.03914514	0.03840620	0.03773650	0.03712675	0.03656924	0.03605754	0.03558623	0.03515069
0.49019608	0.05502725	0.05109827	0.04811121	0.04576360	0.04386995	0.04231021	0.04100322	0.03989213	0.03893598	0.03810448	0.03737473	0.03672914	0.03615394	0.03563821	0.03517319	0.03475175	0.03436803	0.03401719	0.03369518	0.03339857	0.03312449
0.58823529	0.04388205	0.04162676	0.03991214	0.03856458	0.03747760	0.03658229	0.03583205	0.03519427	0.03464543	0.03416813	0.03374925	0.03337867	0.03304849	0.03275246	0.03248553	0.03224362	0.03202336	0.03182197	0.03163713	0.03146688	0.03130955
0.68627451	0.03539227	0.03436431	0.03358279	0.03296857	0.03247313	0.03206504	0.03172309	0.03143239	0.03118223	0.03096468	0.03077375	0.03060484	0.03045435	0.03031941	0.03019775	0.03008749	0.02998709	0.02989530	0.02981105	0.02973345	0.02966174
0.78431373	0.02881937	0.02869956	0.02860847	0.02853689	0.02847914	0.02843158	0.02839173	0.02835785	0.02832869	0.02830333	0.02828108	0.02826140	0.02824386	0.02822813	0.02821395	0.02820110	0.02818940	0.02817870	0.02816888	0.02815984	0.02815148
0.88235294	0.02366141	0.02421681	0.02463906	0.02497092	0.02523861	0.02545910	0.02564386	0.02580092	0.02593608	0.02605363	0.02615678	0.02624804	0.02632936	0.02640226	0.02646799	0.02652757	0.02658181	0.02663141	0.02667693	0.02671886	0.02675760
0.98039216	0.01956715	0.02062498	0.02142921	0.02206128	0.02257112	0.02299107	0.02334296	0.02364211	0.02389954	0.02412341	0.02431989	0.02449371	0.02464857	0.02478743	0.02491263	0.02502610	0.02512941	0.02522387	0.02531057	0.02539042	0.02546422
1.07843137	0.01628492	0.01771532	0.01880281	0.01965750	0.02034691	0.02091475	0.02139059	0.02179509	0.02214320	0.02244592	0.02271160	0.02294663	0.02315604	0.02334380	0.02351310	0.02366653	0.02380623	0.02393396	0.02405119	0.02415918	0.02425896
1.17647059	0.01363078	0.01533512	0.01663088	0.01764924	0.01847068	0.01914727	0.01971423	0.02019621	0.02061097	0.02097167	0.02128823	0.02156828	0.02181779	0.02204150	0.02224322	0.02242604	0.02259249	0.02274468	0.02288437	0.02301303	0.02313193
