# Protein unfolding FRET line
# Gaussian (folded):  R_mean=35.0 Å, sigma=4.0 Å
# WLC (unfolded):     Lc=80.0 Å, Lp=60.0 Å
# tau_D0=4.00 ns, R0=52.0 Å, kappa2=0.66667
# 
# fraction_unfolded	E_FRET	tau_species_avg_ns
0.000000	0.909497	0.362013
0.050000	0.893207	0.427172
0.100000	0.876917	0.492330
0.150000	0.860628	0.557489
0.200000	0.844338	0.622647
0.250000	0.828049	0.687805
0.300000	0.811759	0.752964
0.350000	0.795469	0.818122
0.400000	0.779180	0.883281
0.450000	0.762890	0.948439
0.500000	0.746601	1.013597
0.550000	0.730311	1.078756
0.600000	0.714021	1.143914
0.650000	0.697732	1.209073
0.700000	0.681442	1.274231
0.750000	0.665153	1.339390
0.800000	0.648863	1.404548
0.850000	0.632573	1.469706
0.900000	0.616284	1.534865
0.950000	0.599994	1.600023
1.000000	0.583705	1.665182
