# FRET lines for multiple WLC (unfolded) configurations
# Gaussian (folded): R_mean=35.0 Å, sigma=4.0 Å
# tau_D0=4.00 ns, R0=52.0 Å, kappa2=0.66667
#
# Lp_A	Lc_A	fraction_unfolded	E_FRET	tau_species_avg_ns
40.0	60.0	0.000000	0.909497	0.362013
40.0	60.0	0.050000	0.907776	0.368894
40.0	60.0	0.100000	0.906056	0.375775
40.0	60.0	0.150000	0.904336	0.382656
40.0	60.0	0.200000	0.902616	0.389536
40.0	60.0	0.250000	0.900896	0.396417
40.0	60.0	0.300000	0.899176	0.403298
40.0	60.0	0.350000	0.897455	0.410179
40.0	60.0	0.400000	0.895735	0.417059
40.0	60.0	0.450000	0.894015	0.423940
40.0	60.0	0.500000	0.892295	0.430821
40.0	60.0	0.550000	0.890575	0.437702
40.0	60.0	0.600000	0.888854	0.444582
40.0	60.0	0.650000	0.887134	0.451463
40.0	60.0	0.700000	0.885414	0.458344
40.0	60.0	0.750000	0.883694	0.465225
40.0	60.0	0.800000	0.881974	0.472105
40.0	60.0	0.850000	0.880253	0.478986
40.0	60.0	0.900000	0.878533	0.485867
40.0	60.0	0.950000	0.876813	0.492748
40.0	60.0	1.000000	0.875093	0.499628
40.0	80.0	0.000000	0.909497	0.362013
40.0	80.0	0.050000	0.906646	0.373416
40.0	80.0	0.100000	0.903795	0.384819
40.0	80.0	0.150000	0.900945	0.396222
40.0	80.0	0.200000	0.898094	0.407624
40.0	80.0	0.250000	0.895243	0.419027
40.0	80.0	0.300000	0.892393	0.430430
40.0	80.0	0.350000	0.889542	0.441833
40.0	80.0	0.400000	0.886691	0.453235
40.0	80.0	0.450000	0.883840	0.464638
40.0	80.0	0.500000	0.880990	0.476041
40.0	80.0	0.550000	0.878139	0.487444
40.0	80.0	0.600000	0.875288	0.498846
40.0	80.0	0.650000	0.872438	0.510249
40.0	80.0	0.700000	0.869587	0.521652
40.0	80.0	0.750000	0.866736	0.533055
40.0	80.0	0.800000	0.863886	0.544457
40.0	80.0	0.850000	0.861035	0.555860
40.0	80.0	0.900000	0.858184	0.567263
40.0	80.0	0.950000	0.855334	0.578666
40.0	80.0	1.000000	0.852483	0.590068
40.0	100.0	0.000000	0.909497	0.362013
40.0	100.0	0.050000	0.907255	0.370981
40.0	100.0	0.100000	0.905013	0.379948
40.0	100.0	0.150000	0.902771	0.388915
40.0	100.0	0.200000	0.900529	0.397883
40.0	100.0	0.250000	0.898287	0.406850
40.0	100.0	0.300000	0.896046	0.415818
40.0	100.0	0.350000	0.893804	0.424785
40.0	100.0	0.400000	0.891562	0.433752
40.0	100.0	0.450000	0.889320	0.442720
40.0	100.0	0.500000	0.887078	0.451687
40.0	100.0	0.550000	0.884836	0.460654
40.0	100.0	0.600000	0.882595	0.469622
40.0	100.0	0.650000	0.880353	0.478589
40.0	100.0	0.700000	0.878111	0.487557
40.0	100.0	0.750000	0.875869	0.496524
40.0	100.0	0.800000	0.873627	0.505491
40.0	100.0	0.850000	0.871385	0.514459
40.0	100.0	0.900000	0.869143	0.523426
40.0	100.0	0.950000	0.866902	0.532394
40.0	100.0	1.000000	0.864660	0.541361
40.0	120.0	0.000000	0.909497	0.362013
40.0	120.0	0.050000	0.907722	0.369111
40.0	120.0	0.100000	0.905948	0.376210
40.0	120.0	0.150000	0.904173	0.383308
40.0	120.0	0.200000	0.902399	0.390406
40.0	120.0	0.250000	0.900624	0.397504
40.0	120.0	0.300000	0.898850	0.404602
40.0	120.0	0.350000	0.897075	0.411700
40.0	120.0	0.400000	0.895300	0.418798
40.0	120.0	0.450000	0.893526	0.425896
40.0	120.0	0.500000	0.891751	0.432994
40.0	120.0	0.550000	0.889977	0.440092
40.0	120.0	0.600000	0.888202	0.447190
40.0	120.0	0.650000	0.886428	0.454289
40.0	120.0	0.700000	0.884653	0.461387
40.0	120.0	0.750000	0.882879	0.468485
40.0	120.0	0.800000	0.881104	0.475583
40.0	120.0	0.850000	0.879330	0.482681
40.0	120.0	0.900000	0.877555	0.489779
40.0	120.0	0.950000	0.875781	0.496877
40.0	120.0	1.000000	0.874006	0.503975
60.0	60.0	0.000000	0.909497	0.362013
60.0	60.0	0.050000	0.900079	0.399686
60.0	60.0	0.100000	0.890661	0.437358
60.0	60.0	0.150000	0.881243	0.475030
60.0	60.0	0.200000	0.871824	0.512702
60.0	60.0	0.250000	0.862406	0.550374
60.0	60.0	0.300000	0.852988	0.588047
60.0	60.0	0.350000	0.843570	0.625719
60.0	60.0	0.400000	0.834152	0.663391
60.0	60.0	0.450000	0.824734	0.701063
60.0	60.0	0.500000	0.815316	0.738735
60.0	60.0	0.550000	0.805898	0.776408
60.0	60.0	0.600000	0.796480	0.814080
60.0	60.0	0.650000	0.787062	0.851752
60.0	60.0	0.700000	0.777644	0.889424
60.0	60.0	0.750000	0.768226	0.927096
60.0	60.0	0.800000	0.758808	0.964769
60.0	60.0	0.850000	0.749390	1.002441
60.0	60.0	0.900000	0.739972	1.040113
60.0	60.0	0.950000	0.730554	1.077785
60.0	60.0	1.000000	0.721136	1.115457
60.0	80.0	0.000000	0.909497	0.362013
60.0	80.0	0.050000	0.893207	0.427172
60.0	80.0	0.100000	0.876917	0.492330
60.0	80.0	0.150000	0.860628	0.557489
60.0	80.0	0.200000	0.844338	0.622647
60.0	80.0	0.250000	0.828049	0.687805
60.0	80.0	0.300000	0.811759	0.752964
60.0	80.0	0.350000	0.795469	0.818122
60.0	80.0	0.400000	0.779180	0.883281
60.0	80.0	0.450000	0.762890	0.948439
60.0	80.0	0.500000	0.746601	1.013597
60.0	80.0	0.550000	0.730311	1.078756
60.0	80.0	0.600000	0.714021	1.143914
60.0	80.0	0.650000	0.697732	1.209073
60.0	80.0	0.700000	0.681442	1.274231
60.0	80.0	0.750000	0.665153	1.339390
60.0	80.0	0.800000	0.648863	1.404548
60.0	80.0	0.850000	0.632573	1.469706
60.0	80.0	0.900000	0.616284	1.534865
60.0	80.0	0.950000	0.599994	1.600023
60.0	80.0	1.000000	0.583705	1.665182
60.0	100.0	0.000000	0.909497	0.362013
60.0	100.0	0.050000	0.894611	0.421557
60.0	100.0	0.100000	0.879725	0.481101
60.0	100.0	0.150000	0.864839	0.540644
60.0	100.0	0.200000	0.849953	0.600188
60.0	100.0	0.250000	0.835067	0.659732
60.0	100.0	0.300000	0.820181	0.719275
60.0	100.0	0.350000	0.805295	0.778819
60.0	100.0	0.400000	0.790409	0.838363
60.0	100.0	0.450000	0.775523	0.897906
