Item name: Decay

Real time: 304.82
Live time: 188.86

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	3
104	2
105	6
106	2
107	4
108	10
109	2
110	6
111	8
112	8
113	4
114	5
115	9
116	7
117	2
118	3
119	6
120	6
121	3
122	6
123	5
124	8
125	9
126	6
127	6
128	2
129	5
130	6
131	7
132	5
133	11
134	7
135	2
136	4
137	6
138	4
139	6
140	6
141	5
142	10
143	9
144	7
145	4
146	8
147	6
148	3
149	5
150	11
151	7
152	7
153	6
154	10
155	7
156	6
157	4
158	5
159	7
160	6
161	10
162	8
163	1
164	4
165	6
166	6
167	9
168	9
169	1
170	5
171	8
172	5
173	11
174	9
175	4
176	8
177	1
178	8
179	5
180	3
181	6
182	7
183	9
184	4
185	13
186	7
187	5
188	5
189	4
190	7
191	11
192	6
193	3
194	6
195	7
196	3
197	10
198	2
199	5
200	2
201	10
202	10
203	5
204	7
205	4
206	8
207	8
208	9
209	8
210	10
211	5
212	7
213	7
214	6
215	7
216	6
217	6
218	7
219	4
220	4
221	2
222	8
223	7
224	3
225	6
226	2
227	4
228	9
229	5
230	4
231	8
232	7
233	2
234	8
235	9
236	7
237	7
238	7
239	4
240	5
241	11
242	8
243	4
244	7
245	7
246	8
247	4
248	5
249	6
250	5
251	3
252	7
253	2
254	6
255	5
256	7
257	6
258	9
259	11
260	7
261	6
262	5
263	5
264	9
265	4
266	5
267	4
268	8
269	8
270	8
271	6
