Item name: Decay

Real time: 362.06
Live time: 155.88

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	1
98	0
99	0
100	2
101	2
102	1
103	4
104	5
105	13
106	12
107	10
108	8
109	13
110	10
111	14
112	10
113	6
114	8
115	7
116	16
117	11
118	12
119	11
120	12
121	9
122	8
123	12
124	14
125	13
126	6
127	15
128	12
129	8
130	14
131	10
132	11
133	13
134	12
135	6
136	10
137	11
138	15
139	10
140	11
141	11
142	16
143	16
144	8
145	10
146	16
147	16
148	15
149	11
150	11
151	13
152	12
153	13
154	11
155	10
156	10
157	10
158	9
159	7
160	17
161	12
162	16
163	6
164	7
165	15
166	12
167	17
168	11
169	6
170	11
171	6
172	7
173	12
174	13
175	12
176	8
177	15
178	7
179	7
180	11
181	6
182	14
183	12
184	11
185	11
186	10
187	6
188	13
189	16
190	9
191	8
192	11
193	9
194	6
195	15
196	14
197	10
198	19
199	14
200	19
201	20
202	12
203	11
204	10
205	19
206	12
207	13
208	11
209	18
210	6
211	13
212	10
213	7
214	9
215	9
216	15
217	14
218	10
219	8
220	9
221	12
222	10
223	15
224	10
225	7
226	4
227	9
228	6
229	8
230	10
231	9
232	8
233	17
234	10
235	16
236	13
237	17
238	10
239	9
240	7
241	7
242	9
243	9
244	6
245	14
246	7
247	9
248	7
249	10
250	4
251	7
252	13
253	14
254	10
255	9
256	11
257	14
258	11
259	7
260	9
261	4
262	15
263	7
264	10
265	7
266	8
267	12
268	13
269	5
270	16
271	10
