Item name: Decay

Real time: 3898.64
Live time: 3872.3

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	1
102	1
103	1
104	2
105	2
106	2
107	6
108	3
109	2
110	4
111	4
112	5
113	10
114	3
115	8
116	5
117	6
118	9
119	3
120	6
121	6
122	4
123	7
124	7
125	6
126	7
127	7
128	7
129	4
130	2
131	6
132	6
133	6
134	3
135	7
136	4
137	9
138	6
139	2
140	7
141	1
142	4
143	3
144	6
145	4
146	3
147	3
148	4
149	4
150	3
151	6
152	4
153	10
154	5
155	6
156	4
157	4
158	9
159	6
160	6
161	5
162	7
163	6
164	5
165	7
166	3
167	5
168	4
169	5
170	6
171	3
172	3
173	3
174	3
175	5
176	3
177	2
178	7
179	7
180	3
181	3
182	4
183	7
184	3
185	11
186	6
187	3
188	4
189	9
190	8
191	3
192	3
193	2
194	4
195	8
196	5
197	3
198	3
199	2
200	4
201	3
202	2
203	7
204	2
205	6
206	7
207	3
208	6
209	7
210	1
211	8
212	4
213	2
214	5
215	3
216	2
217	3
218	4
219	4
220	7
221	6
222	6
223	1
224	9
225	2
226	4
227	6
228	4
229	4
230	7
231	6
232	7
233	7
234	6
235	6
236	4
237	4
238	5
239	7
240	6
241	2
242	4
243	2
244	5
245	1
246	6
247	6
248	1
249	7
250	0
251	3
252	3
253	2
254	1
255	9
256	6
257	9
258	4
259	4
260	6
261	2
262	2
263	3
264	7
265	7
266	5
267	8
268	6
269	1
270	6
271	4
