Item name: Prompt

Real time: 70.2
Live time: 53.64

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	1
105	2
106	0
107	3
108	0
109	2
110	0
111	1
112	1
113	1
114	2
115	2
116	2
117	2
118	3
119	2
120	2
121	0
122	1
123	3
124	0
125	1
126	1
127	1
128	1
129	1
130	2
131	1
132	1
133	1
134	0
135	1
136	0
137	0
138	0
139	4
140	1
141	1
142	1
143	2
144	1
145	3
146	0
147	4
148	1
149	1
150	1
151	1
152	0
153	0
154	1
155	0
156	2
157	2
158	1
159	2
160	3
161	2
162	0
163	1
164	3
165	1
166	1
167	0
168	0
169	0
170	0
171	0
172	0
173	1
174	3
175	1
176	1
177	2
178	3
179	0
180	0
181	3
182	0
183	2
184	2
185	4
186	1
187	2
188	0
189	1
190	2
191	1
192	2
193	1
194	0
195	3
196	3
197	1
198	1
199	0
200	3
201	0
202	1
203	0
204	1
205	0
206	0
207	1
208	4
209	2
210	1
211	0
212	1
213	1
214	0
215	2
216	0
217	0
218	1
219	3
220	1
221	2
222	1
223	3
224	1
225	1
226	1
227	0
228	0
229	1
230	1
231	0
232	0
233	0
234	1
235	1
236	1
237	1
238	1
239	4
240	0
241	1
242	0
243	0
244	0
245	3
246	2
247	3
248	3
249	1
250	0
251	0
252	1
253	1
254	0
255	1
256	2
257	2
258	1
259	1
260	0
261	0
262	0
263	1
264	2
265	0
266	2
267	2
268	1
269	0
270	1
271	4
