Item name: Decay

Real time: 8042.06
Live time: 3489.34

Comment: 


Chan	Data
1	0
2	52
3	63
4	59
5	72
6	65
7	59
8	52
9	57
10	73
11	50
12	54
13	66
14	61
15	67
16	69
17	67
18	74
19	61
20	66
21	92
22	61
23	77
24	59
25	60
26	70
27	60
28	68
29	72
30	87
31	77
32	92
33	103
34	70
35	99
36	76
37	76
38	77
39	101
40	81
41	84
42	86
43	94
44	88
45	94
46	86
47	92
48	88
49	98
50	98
51	98
52	85
53	76
54	80
55	86
56	88
57	103
58	90
59	98
60	102
61	97
62	96
63	103
64	88
65	94
66	85
67	107
68	89
69	99
70	109
71	129
72	114
73	107
74	95
75	104
76	97
77	107
78	106
79	95
80	112
81	104
82	110
83	137
84	107
85	96
86	94
87	110
88	110
89	104
90	120
91	111
92	114
93	166
94	140
95	362
96	816
97	1720
98	3717
99	7483
100	13718
101	24865
102	42639
103	61020
104	80128
105	94614
106	97042
107	98053
108	97941
109	97641
110	98044
111	98239
112	98033
113	97362
114	97702
115	97578
116	97455
117	97521
118	98139
119	97617
120	97701
121	97253
122	97656
123	97648
124	97625
125	97253
126	97724
127	97791
128	97816
129	98454
130	98028
131	97937
132	98234
133	98056
134	98213
135	97622
136	98220
137	97895
138	98339
139	98454
140	97921
141	98244
142	98074
143	98292
144	98644
145	98702
146	98262
147	98605
148	98626
149	98716
150	97737
151	98785
152	98730
153	98502
154	98308
155	98824
156	98615
157	98918
158	98581
159	98378
160	98839
161	98964
162	98791
163	98775
164	98901
165	98821
166	99164
167	98981
168	99222
169	98778
170	98481
171	98992
172	99257
173	98809
174	98807
175	99006
176	98628
177	98739
178	98577
179	98718
180	99227
181	98613
182	98605
183	98820
184	98428
185	99369
186	98471
187	99243
188	98888
189	98444
190	98556
191	98794
192	98917
193	98777
194	98278
195	98551
196	98822
197	98957
198	98590
199	98565
200	98227
201	99126
202	98444
203	98461
204	97768
205	98679
206	98212
207	98583
208	98049
209	98278
210	98879
211	97922
212	98358
213	98132
214	98289
215	97532
216	98517
217	97519
218	97668
219	98382
220	97803
221	97905
222	98018
223	97948
224	97357
225	98005
226	97858
227	97725
228	97288
229	97798
230	97371
231	97878
232	97601
233	97381
234	97753
235	97174
236	97775
237	97559
238	97298
239	97294
240	97240
241	97708
242	97072
243	97373
244	97692
245	98011
246	97578
247	97038
248	96818
249	97950
250	97116
251	97040
252	97857
253	97469
254	97295
255	96851
256	97262
257	97490
258	97523
259	96829
260	97217
261	96785
262	97930
263	97116
264	97572
265	97880
266	97656
267	96844
268	97331
269	97406
270	97832
271	97316
272	97476
273	97532
274	97587
275	97110
276	97302
277	97384
278	97257
279	97460
280	97206
281	97888
282	97564
283	97842
284	97112
285	97396
286	97301
287	97180
288	97948
289	97074
290	97632
291	97093
292	97195
293	97459
294	97360
295	98141
296	97459
297	97498
298	97604
299	97712
300	97371
301	97108
302	97703
303	97935
304	96889
305	97690
306	97650
307	97179
308	97242
309	97628
310	97089
311	97256
312	97132
313	96918
314	97166
315	97089
316	97306
317	96928
318	96957
319	97155
320	96745
321	96801
322	97278
323	97157
324	96953
325	96957
326	97010
327	97406
328	96398
329	96818
330	97272
